Date,Total Returns Index
01-Jan-2019,7009.39
02-Jan-2019,6935.85
03-Jan-2019,6875.99
04-Jan-2019,6907.22
07-Jan-2019,6920.51
08-Jan-2019,6927.41
09-Jan-2019,6939.51
10-Jan-2019,6947.42
11-Jan-2019,6935.08
14-Jan-2019,6904.26
15-Jan-2019,6967.87
16-Jan-2019,6963.31
17-Jan-2019,6959.03
18-Jan-2019,6937.28
21-Jan-2019,6926.94
22-Jan-2019,6913.72
23-Jan-2019,6877.71
24-Jan-2019,6873.33
25-Jan-2019,6802.99
28-Jan-2019,6705.32
29-Jan-2019,6710.94
30-Jan-2019,6729.15
31-Jan-2019,6799.71
01-Feb-2019,6838.35
04-Feb-2019,6817.23
05-Feb-2019,6794.57
06-Feb-2019,6837.67
07-Feb-2019,6867.26
08-Feb-2019,6786.49
11-Feb-2019,6716.53
12-Feb-2019,6693.47
13-Feb-2019,6669.5
14-Feb-2019,6672.02
15-Feb-2019,6633.19
18-Feb-2019,6571.91
19-Feb-2019,6577.62
20-Feb-2019,6648.04
21-Feb-2019,6697.9
22-Feb-2019,6716.36
25-Feb-2019,6755.13
26-Feb-2019,6739.42
27-Feb-2019,6746.24
28-Feb-2019,6763.65
01-Mar-2019,6831.1
05-Mar-2019,6943.15
06-Mar-2019,6979.37
07-Mar-2019,6969.6
08-Mar-2019,6959.79
11-Mar-2019,7073.86
12-Mar-2019,7132.87
13-Mar-2019,7124.84
14-Mar-2019,7124.49
15-Mar-2019,7169.8
18-Mar-2019,7169.38
19-Mar-2019,7209.48
20-Mar-2019,7190.99
22-Mar-2019,7155.89
25-Mar-2019,7093.62
26-Mar-2019,7167.32
27-Mar-2019,7175.12
28-Mar-2019,7254.36
29-Mar-2019,7310.4
01-Apr-2019,7334.14
02-Apr-2019,7344.44
03-Apr-2019,7288.58
04-Apr-2019,7270.9
05-Apr-2019,7316.57
08-Apr-2019,7272.06
09-Apr-2019,7295.52
10-Apr-2019,7263.89
11-Apr-2019,7270.84
12-Apr-2019,7299.31
15-Apr-2019,7332.52
16-Apr-2019,7365.78
18-Apr-2019,7323.18
22-Apr-2019,7216.2
23-Apr-2019,7214.45
24-Apr-2019,7267.75
25-Apr-2019,7229.11
26-Apr-2019,7249.7
30-Apr-2019,7217.16
02-May-2019,7188.39
03-May-2019,7181.78
06-May-2019,7119.61
07-May-2019,7055.65
08-May-2019,6981.7
09-May-2019,6958.04
10-May-2019,6963.45
14-May-2019,6886.8
15-May-2019,6848.76
