Date,Close,percentage change
1-January-2019,4532.63,0
2-January-2019,4483.57,-1.082373809
3-January-2019,4441.35,-2.013841853
4-January-2019,4461.37,-1.57215568
7-January-2019,4469.95,-1.382861606
8-January-2019,4479.38,-1.174814622
9-January-2019,4490.35,-0.9327917787
10-January-2019,4490.22,-0.9356598708
11-January-2019,4479.9,-1.163342254
14-January-2019,4457.38,-1.660184043
15-January-2019,4502.4,-0.6669417093
16-January-2019,4502.32,-0.6687066891
17-January-2019,4501.89,-0.678193455
18-January-2019,4488.83,-0.9663263933
21-January-2019,4487.42,-0.9974341607
22-January-2019,4477.67,-1.212541063
23-January-2019,4452.89,-1.75924353
24-January-2019,4452.77,-1.761890999
25-January-2019,4411.61,-2.669973062
28-January-2019,4350.33,-4.021947523
29-January-2019,4351.62,-3.993487225
30-January-2019,4356.83,-3.878542921
31-January-2019,4412.6,-2.648131438
1-February-2019,4435.63,-2.140037903
4-February-2019,4424.26,-2.390885645
5-February-2019,4416.61,-2.55966183
6-February-2019,4447.34,-1.881688997
7-February-2019,4464.04,-1.513249482
8-February-2019,4408.9,-2.72976175
11-February-2019,4368.94,-3.611369117
12-February-2019,4352.11,-3.982676724
13-February-2019,4335.17,-4.356411178
14-February-2019,4333.1,-4.402080029
15-February-2019,4309.06,-4.932456433
18-February-2019,4271.9,-5.75228951
19-February-2019,4269.3,-5.80965135
20-February-2019,4316.05,-4.77824133
21-February-2019,4345.41,-4.130493775
22-February-2019,4355.27,-3.912960025
25-February-2019,4385.76,-3.240282132
26-February-2019,4369.64,-3.595925544
27-February-2019,4369.43,-3.600558616
28-February-2019,4378.98,-3.389864163
1-March-2019,4418.07,-2.52745095
5-March-2019,4486.38,-1.020378897
6-March-2019,4510.4,-0.490443738
7-March-2019,4506.39,-0.5789133461
8-March-2019,4500.51,-0.7086393551
11-March-2019,4565.58,0.7269510196
12-March-2019,4609.03,1.685555627
13-March-2019,4612.08,1.752845478
14-March-2019,4610.48,1.717545884
15-March-2019,4636.34,2.288075576
18-March-2019,4641.85,2.409638554
19-March-2019,4670.5,3.041721914
20-March-2019,4661.03,2.832792441
22-March-2019,4636.04,2.281456903
25-March-2019,4596.59,1.411101281
26-March-2019,4643.74,2.4513362
27-March-2019,4646.74,2.517522939
28-March-2019,4693.88,3.557537236
29-March-2019,4724.83,4.240363762
1-April-2019,4744.37,4.671460057
2-April-2019,4750.88,4.815085282
3-April-2019,4722.01,4.178148227
4-April-2019,4707.99,3.868835533
5-April-2019,4734.86,4.461648094
8-April-2019,4708.28,3.875233584
9-April-2019,4726.82,4.284267633
10-April-2019,4702.02,3.737123921
11-April-2019,4706.54,3.836845275
12-April-2019,4724.55,4.234186333
15-April-2019,4745.2,4.689771722
16-April-2019,4774.89,5.344799818
18-April-2019,4747.48,4.740073644
22-April-2019,4679.02,3.229692254
23-April-2019,4675.03,3.141663891
24-April-2019,4717.71,4.083280568
25-April-2019,4691.35,3.501719752
26-April-2019,4706.73,3.841037102
30-April-2019,4687.36,3.413691389
2-May-2019,4671.92,3.073050304
3-May-2019,4666.03,2.943103673
6-May-2019,4623.39,2.002369485
7-May-2019,4582.37,1.097376137
8-May-2019,4530.73,-0.0419182682
9-May-2019,4512.69,-0.4399211937
10-May-2019,4511.82,-0.459115348
13-May-2019,4444.26,-1.949640716
14-May-2019,4468.21,-1.421249915
15-May-2019,4442.55,-1.987367158
16-May-2019,4469.95,-1.382861606
17-May-2019,4521.53,-0.2448909353
20-May-2019,4683,3.317499994
21-May-2019,4638.63,2.338598121
22-May-2019,4647.86,2.542232655
23-May-2019,4629.67,2.140920393
24-May-2019,4713,3.979367387
27-May-2019,4758.04,4.973050966
28-May-2019,4764.66,5.119103037
29-May-2019,4732.34,4.406051233
30-May-2019,4761.07,5.039899573
31-May-2019,4756.02,4.928485228
3-June-2019,4814.79,6.22508345
4-June-2019,4795.88,5.807886371
6-June-2019,4720.42,4.143069256
7-June-2019,4723.98,4.221610853
10-June-2019,4737.32,4.51592122
11-June-2019,4761.45,5.048283226
12-June-2019,4732.6,4.411787417
13-June-2019,4726.29,4.272574642
14-June-2019,4687.43,3.415235746
17-June-2019,4628.85,2.122829351
18-June-2019,4634.18,2.240421124
19-June-2019,4616.65,1.853669944
20-June-2019,4676.59,3.176080995
21-June-2019,4650.36,2.597388271
24-June-2019,4640.85,2.387576308
