Date,Close,Percentage Change
1-January-2019,4668.61,0
2-January-2019,4617.92,-1.085762143
3-January-2019,4570.83,-2.094413541
4-January-2019,4592.62,-1.627679331
7-January-2019,4605.01,-1.362289846
8-January-2019,4617.05,-1.10439724
9-January-2019,4633.77,-0.7462606643
10-January-2019,4628.48,-0.8595706217
11-January-2019,4616.35,-1.119390996
14-January-2019,4592.8,-1.623823793
15-January-2019,4647.06,-0.4615934936
16-January-2019,4648.47,-0.4313917847
17-January-2019,4651.68,-0.3626347028
18-January-2019,4642.65,-0.5560541574
21-January-2019,4651.41,-0.3684180088
22-January-2019,4641.17,-0.5877552419
23-January-2019,4610.39,-1.24705212
24-January-2019,4613.76,-1.174867894
25-January-2019,4577.31,-1.955614198
28-January-2019,4519.06,-3.203308908
29-January-2019,4519.6,-3.191742296
30-January-2019,4519.15,-3.201381139
31-January-2019,4587.58,-1.735634375
1-February-2019,4613.88,-1.172297536
4-February-2019,4610.31,-1.248765693
5-February-2019,4609.02,-1.276397043
6-February-2019,4653.46,-0.3245077229
7-February-2019,4667.33,-0.02741715414
8-February-2019,4609.58,-1.264402038
11-February-2019,4577.76,-1.945975355
12-February-2019,4555.94,-2.413352154
13-February-2019,4535.66,-2.84774269
14-February-2019,4527.35,-3.025739995
15-February-2019,4505.62,-3.491189026
18-February-2019,4467.49,-4.307920345
19-February-2019,4459.78,-4.473065859
20-February-2019,4513.03,-3.332469407
21-February-2019,4538.97,-2.776843643
22-February-2019,4546.73,-2.610627146
25-February-2019,4582.39,-1.846802367
26-February-2019,4563.38,-2.253989946
27-February-2019,4557.95,-2.370298654
28-February-2019,4562.57,-2.271339863
1-March-2019,4595.79,-1.559779035
5-March-2019,4656.16,-0.2666746633
6-March-2019,4681.39,0.2737431484
7-March-2019,4680.17,0.2476111733
8-March-2019,4673.82,0.1115963852
11-March-2019,4738.07,1.487809005
12-March-2019,4786.18,2.518308447
13-March-2019,4796.56,2.740644432
14-March-2019,4795.31,2.713869867
15-March-2019,4823.43,3.316190472
18-March-2019,4832.87,3.518391984
19-March-2019,4862.88,4.161195731
20-March-2019,4855.68,4.006974239
22-March-2019,4828.32,3.420932569
25-March-2019,4786.25,2.519807823
26-March-2019,4835.66,3.578152812
27-March-2019,4827.63,3.406153009
28-March-2019,4879.57,4.518689717
29-March-2019,4907.57,5.118439964
1-April-2019,4928.55,5.567824256
2-April-2019,4938.51,5.781163987
3-April-2019,4912.21,5.217827148
4-April-2019,4895.71,4.864402895
5-April-2019,4922.75,5.443590276
8-April-2019,4896.69,4.885394154
9-April-2019,4921.68,5.420671249
10-April-2019,4889.46,4.730530072
11-April-2019,4894.58,4.840198689
12-April-2019,4914.39,5.264521988
15-April-2019,4934.17,5.688202698
16-April-2019,4971.92,6.496794549
18-April-2019,4949.1,6.007998098
22-April-2019,4880.13,4.530684722
23-April-2019,4873.88,4.396811899
24-April-2019,4928.95,5.576392117
25-April-2019,4897.32,4.898888534
26-April-2019,4926.08,5.514917716
30-April-2019,4915.46,5.287441016
2-May-2019,4901.93,4.997633128
3-May-2019,4896.1,4.872756559
6-May-2019,4849.01,3.864105162
7-May-2019,4807.01,2.964479792
8-May-2019,4749.79,1.738847323
9-May-2019,4728.88,1.290962406
10-May-2019,4721.84,1.140168059
13-May-2019,4659.92,-0.186136773
14-May-2019,4687.43,0.4031178445
15-May-2019,4660.92,-0.1647171214
16-May-2019,4694.52,0.5549831749
17-May-2019,4752.92,1.805890833
20-May-2019,4927.27,5.540407102
21-May-2019,4877.63,4.477135593
22-May-2019,4888.41,4.708039438
23-May-2019,4864.7,4.200179497
24-May-2019,4948.4,5.993004342
27-May-2019,4985.79,6.793885118
28-May-2019,4993.54,6.959887418
29-May-2019,4960.2,6.245756232
30-May-2019,4993.12,6.950891165
31-May-2019,4986.55,6.810164053
3-June-2019,5051.84,8.208653111
4-June-2019,5028.2,7.702292545
6-June-2019,4950.9,6.046553471
7-June-2019,4957.28,6.183210849
10-June-2019,4975.35,6.570263954
