Date,Total Returns Index,Percent Change
01-Jan-2019,15114.9,0
02-Jan-2019,14951.96,-1.078009117
03-Jan-2019,14785.38,-2.180100431
04-Jan-2019,14861.69,-1.675234371
07-Jan-2019,14923.27,-1.267821818
08-Jan-2019,14965.34,-0.9894871948
09-Jan-2019,15038.74,-0.5038736611
10-Jan-2019,14992.23,-0.8115832721
11-Jan-2019,14955.33,-1.055713237
14-Jan-2019,14875.92,-1.581088859
15-Jan-2019,15082.59,-0.2137625786
16-Jan-2019,15087.41,-0.1818735155
17-Jan-2019,15109.54,-0.03546169674
18-Jan-2019,15111.95,-0.01951716518
21-Jan-2019,15188,0.4836287372
22-Jan-2019,15133.83,0.1252406566
23-Jan-2019,15007.4,-0.7112187312
24-Jan-2019,15038.07,-0.5083063732
25-Jan-2019,14942.09,-1.14330892
28-Jan-2019,14777.11,-2.234814653
29-Jan-2019,14764.59,-2.317646825
30-Jan-2019,14764.02,-2.321417939
31-Jan-2019,15012.34,-0.6785357495
01-Feb-2019,15099.21,-0.1038048548
04-Feb-2019,15125.02,0.06695380055
05-Feb-2019,15155.99,0.271850955
06-Feb-2019,15337.8,1.474703769
07-Feb-2019,15347.41,1.538283416
08-Feb-2019,15173.02,0.384521234
11-Feb-2019,15100.61,-0.09454247134
12-Feb-2019,15023.02,-0.6078769955
13-Feb-2019,14970.62,-0.9545547771
14-Feb-2019,14906.26,-1.380359777
15-Feb-2019,14876.27,-1.578773263
18-Feb-2019,14760.48,-2.344838537
19-Feb-2019,14709.75,-2.680467618
20-Feb-2019,14891.6,-1.477350164
21-Feb-2019,14970.12,-0.9578627712
22-Feb-2019,14972.58,-0.9415874402
25-Feb-2019,15095.33,-0.129474889
26-Feb-2019,15033.15,-0.5408570351
27-Feb-2019,14993.45,-0.8035117665
28-Feb-2019,14979.39,-0.8965325606
01-Mar-2019,15077.91,-0.2447254034
05-Mar-2019,15249.97,0.8936215258
06-Mar-2019,15340.93,1.495411812
07-Mar-2019,15348.14,1.543113087
08-Mar-2019,15316.51,1.33384938
11-Mar-2019,15500.61,2.551852807
12-Mar-2019,15685.41,3.774487426
13-Mar-2019,15742.86,4.154575948
14-Mar-2019,15749.67,4.199630828
15-Mar-2019,15867.74,4.980780554
