Date,Close,Percentage Change
1-January-2019,4407.9,0
2-January-2019,4360.3,-1.079879308
3-January-2019,4316.48,-2.074003494
4-January-2019,4336.72,-1.614827923
7-January-2019,4347.93,-1.360511808
8-January-2019,4359.24,-1.10392704
9-January-2019,4374.54,-0.7568229769
10-January-2019,4370.09,-0.8577780803
11-January-2019,4358.99,-1.109598675
14-January-2019,4336.49,-1.620045827
15-January-2019,4386.84,-0.477778534
16-January-2019,4387.88,-0.4541845323
17-January-2019,4390.36,-0.3979219129
18-January-2019,4381.55,-0.597790331
21-January-2019,4389.56,-0.416071145
22-January-2019,4379.78,-0.6379455069
23-January-2019,4350.95,-1.291998457
24-January-2019,4353.66,-1.230517934
25-January-2019,4318.71,-2.023412509
28-January-2019,4263.87,-3.267542367
29-January-2019,4263.59,-3.273894598
30-January-2019,4264.13,-3.261643867
31-January-2019,4327.76,-1.818099322
1-February-2019,4352.6,-1.254565666
4-February-2019,4349.24,-1.330792441
5-February-2019,4347.6,-1.367998367
6-February-2019,4388.44,-0.4414800699
7-February-2019,4401.99,-0.1340774518
8-February-2019,4348.29,-1.352344654
11-February-2019,4317.31,-2.055173665
12-February-2019,4296.95,-2.517071621
13-February-2019,4278.69,-2.931327843
14-February-2019,4270.58,-3.115315683
15-February-2019,4249.95,-3.583339005
18-February-2019,4214.12,-4.396197736
19-February-2019,4207.51,-4.546155766
20-February-2019,4256.78,-3.428389936
21-February-2019,4281.6,-2.865310012
22-February-2019,4289.26,-2.691531115
25-February-2019,4322.63,-1.934481272
26-February-2019,4305.13,-2.331495724
27-February-2019,4300.26,-2.441979174
28-February-2019,4305.25,-2.328773339
1-March-2019,4337.41,-1.59917421
5-March-2019,4395.83,-0.2738265387
6-March-2019,4420.1,0.2767757889
7-March-2019,4418.45,0.2393429978
8-March-2019,4412.22,0.09800585313
11-March-2019,4472.86,1.473717643
12-March-2019,4518.92,2.518659679
13-March-2019,4527.77,2.719435559
14-March-2019,4526.42,2.68880873
15-March-2019,4552.3,3.275936387
18-March-2019,4560.7,3.466503324
19-March-2019,4588.46,4.096281676
20-March-2019,4581.61,3.940878877
22-March-2019,4555.81,3.355566143
25-March-2019,4515.72,2.446062751
